testing_model_structure,testing_model_type,testing_model_augmentation,testing_model_idx,D_attack_type,D_attack_direction,D_generating_model,D_idx,acc,loss
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg19,1,0.4214000105857849,3.0871999263763428
ResNet20v1,ff,cw,2,pgd,untargeted,vgg13,1,0.6704000234603882,1.88270902633667
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg19,0,0.4162000119686126,3.177354335784912
ResNet20v1,ff,cw,2,pgd,untargeted,vgg11,0,0.5861999988555908,2.1290557384490967
ResNet20v1,ff,cw,2,pgd,untargeted,vgg19,2,0.6427000164985657,2.120847463607788
ResNet20v1,ff,cw,2,pgd,untargeted,vgg16,0,0.6460000276565552,2.141865968704224
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg16,1,0.4278999865055084,3.01462197303772
ResNet20v1,ff,cw,2,pgd,untargeted,vgg13,4,0.6416000127792358,1.9440085887908936
ResNet20v1,ff,cw,2,pgd,untargeted,vgg16,2,0.6119999885559082,2.190515518188477
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg16,0,0.4323000013828277,3.015561580657959
ResNet20v1,ff,cw,2,pgd,untargeted,vgg16,1,0.6177999973297119,2.2702927589416504
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg16,2,0.3828999996185303,3.2122256755828857
ResNet20v1,ff,cw,2,pgd,untargeted,vgg11,4,0.6078000068664551,2.047824144363404
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg11,1,0.4384999871253967,2.660593271255493
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg19,2,0.4214999973773956,3.0273170471191406
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg13,4,0.4587000012397766,2.873978614807129
ResNet20v1,ff,cw,2,pgd,untargeted,vgg19,4,0.6585999727249146,1.910098433494568
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg13,1,0.4736000001430511,2.809992790222168
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg13,2,0.4555000066757202,2.9157915115356445
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg19,4,0.449999988079071,2.915668249130249
ResNet20v1,ff,cw,2,pgd,untargeted,vgg11,2,0.6007999777793884,2.05444860458374
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg11,2,0.4212999939918518,2.69502067565918
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg16,4,0.4149999916553497,3.01021695137024
ResNet20v1,ff,cw,2,pgd,untargeted,vgg13,0,0.6344000101089478,2.0154342651367188
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg11,4,0.4239000082015991,2.733571529388428
ResNet20v1,ff,cw,2,pgd,untargeted,vgg13,2,0.6535999774932861,1.9668232202529907
ResNet20v1,ff,cw,2,pgd,untargeted,vgg11,1,0.616599977016449,2.0214664936065674
ResNet20v1,ff,cw,2,pgd,untargeted,vgg19,1,0.6294999718666077,2.073463201522827
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg13,0,0.4499000012874603,2.955176591873169
ResNet20v1,ff,cw,2,pgd,untargeted,vgg16,4,0.6398000121116638,2.249930620193481
ResNet20v1,ff,cw,2,pgd,untargeted,vgg19,0,0.638700008392334,1.9988023042678835
ResNet20v1,ff,cw,2,pgd,targeted_ll,vgg11,0,0.4361000061035156,2.5811707973480225
ResNet20v1,ff,cw,2,original,original,original,0,0.6959999799728394,1.480283260345459
