model,dataset,accuracy
resnet20v1_original_ver5,cwl2-untargeted-by-resnet56v1-ver0_test,0.8277
resnet20v1_original_ver6,cwl2-untargeted-by-resnet56v1-ver0_test,0.8106
resnet20v1_original_ver7,cwl2-untargeted-by-resnet56v1-ver0_test,0.7777
resnet20v2_original_tuned-once-on_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8962
resnet20v2_original_tuned-once-on_original_ver1,cwl2-untargeted-by-resnet56v1-ver0_test,0.8925
resnet20v2_original_tuned-once-on_original_ver2,cwl2-untargeted-by-resnet56v1-ver0_test,0.8974
resnet20v2_original_tuned-once-on_original_ver3,cwl2-untargeted-by-resnet56v1-ver0_test,0.8945
resnet20v2_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.765
resnet20v2_original_ver1,cwl2-untargeted-by-resnet56v1-ver0_test,0.7561
resnet20v2_original_ver2,cwl2-untargeted-by-resnet56v1-ver0_test,0.767
resnet20v2_original_ver3,cwl2-untargeted-by-resnet56v1-ver0_test,0.7716
resnet56v1_original_tuned-once-on_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8682
resnet56v1_original_tuned-once-on_original_ver1,cwl2-untargeted-by-resnet56v1-ver0_test,0.8937
resnet56v1_original_tuned-once-on_original_ver2,cwl2-untargeted-by-resnet56v1-ver0_test,0.8891
resnet56v1_original_tuned-once-on_original_ver3,cwl2-untargeted-by-resnet56v1-ver0_test,0.8973
resnet56v1_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.0799
resnet56v1_original_ver1,cwl2-untargeted-by-resnet56v1-ver0_test,0.8035
resnet56v1_original_ver2,cwl2-untargeted-by-resnet56v1-ver0_test,0.8107
resnet56v1_original_ver3,cwl2-untargeted-by-resnet56v1-ver0_test,0.798
resnet56v2_original_tuned-once-on_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.9067
resnet56v2_original_tuned-once-on_original_ver1,cwl2-untargeted-by-resnet56v1-ver0_test,0.9051
resnet56v2_original_tuned-once-on_original_ver2,cwl2-untargeted-by-resnet56v1-ver0_test,0.8941
resnet56v2_original_tuned-once-on_original_ver3,cwl2-untargeted-by-resnet56v1-ver0_test,0.9048
resnet56v2_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.7679
resnet56v2_original_ver1,cwl2-untargeted-by-resnet56v1-ver0_test,0.7927
resnet56v2_original_ver2,cwl2-untargeted-by-resnet56v1-ver0_test,0.7476
resnet56v2_original_ver3,cwl2-untargeted-by-resnet56v1-ver0_test,0.7731
vgg11_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.7788
vgg13_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8516
vgg16_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.8493
vgg19_original_ver0,cwl2-untargeted-by-resnet56v1-ver0_test,0.844
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7865
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.8037
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7699
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7802
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.8505
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7568
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7688
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7645
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7965
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.8078
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7622
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7767
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7797
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7811
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7408
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7445
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7327
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7457
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7795
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7822
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7553
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7751
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7756
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7777
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7813
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7898
resnet20v1_original_tuned-once-on_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.8459
resnet20v1_original_tuned-once-on_original_ver1,deepfool-untargeted-by-resnet56v1-ver0_test,0.8463
resnet20v1_original_tuned-once-on_original_ver2,deepfool-untargeted-by-resnet56v1-ver0_test,0.8498
resnet20v1_original_tuned-once-on_original_ver3,deepfool-untargeted-by-resnet56v1-ver0_test,0.8474
resnet20v1_original_tuned-once-on_original_ver4,deepfool-untargeted-by-resnet56v1-ver0_test,0.8417
resnet20v1_original_tuned-once-on_original_ver5,deepfool-untargeted-by-resnet56v1-ver0_test,0.8408
resnet20v1_original_tuned-once-on_original_ver6,deepfool-untargeted-by-resnet56v1-ver0_test,0.8377
resnet20v1_original_tuned-once-on_original_ver7,deepfool-untargeted-by-resnet56v1-ver0_test,0.8489
resnet20v1_original_tuned-thrice-on_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.8399
resnet20v1_original_tuned-twice-on_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.8344
resnet20v1_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7516
resnet20v1_original_ver1,deepfool-untargeted-by-resnet56v1-ver0_test,0.7832
resnet20v1_original_ver2,deepfool-untargeted-by-resnet56v1-ver0_test,0.7808
resnet20v1_original_ver3,deepfool-untargeted-by-resnet56v1-ver0_test,0.7936
resnet20v1_original_ver4,deepfool-untargeted-by-resnet56v1-ver0_test,0.7734
resnet20v1_original_ver5,deepfool-untargeted-by-resnet56v1-ver0_test,0.7961
resnet20v1_original_ver6,deepfool-untargeted-by-resnet56v1-ver0_test,0.7685
resnet20v1_original_ver7,deepfool-untargeted-by-resnet56v1-ver0_test,0.7487
resnet20v2_original_tuned-once-on_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.8542
resnet20v2_original_tuned-once-on_original_ver1,deepfool-untargeted-by-resnet56v1-ver0_test,0.8433
resnet20v2_original_tuned-once-on_original_ver2,deepfool-untargeted-by-resnet56v1-ver0_test,0.8482
resnet20v2_original_tuned-once-on_original_ver3,deepfool-untargeted-by-resnet56v1-ver0_test,0.8452
resnet20v2_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7333
resnet20v2_original_ver1,deepfool-untargeted-by-resnet56v1-ver0_test,0.7194
resnet20v2_original_ver2,deepfool-untargeted-by-resnet56v1-ver0_test,0.7278
resnet20v2_original_ver3,deepfool-untargeted-by-resnet56v1-ver0_test,0.7398
resnet56v1_original_tuned-once-on_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.8364
resnet56v1_original_tuned-once-on_original_ver1,deepfool-untargeted-by-resnet56v1-ver0_test,0.85
resnet56v1_original_tuned-once-on_original_ver2,deepfool-untargeted-by-resnet56v1-ver0_test,0.8455
resnet56v1_original_tuned-once-on_original_ver3,deepfool-untargeted-by-resnet56v1-ver0_test,0.8475
resnet56v1_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.3006
resnet56v1_original_ver1,deepfool-untargeted-by-resnet56v1-ver0_test,0.7711
resnet56v1_original_ver2,deepfool-untargeted-by-resnet56v1-ver0_test,0.7821
resnet56v1_original_ver3,deepfool-untargeted-by-resnet56v1-ver0_test,0.7752
resnet56v2_original_tuned-once-on_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.8586
resnet56v2_original_tuned-once-on_original_ver1,deepfool-untargeted-by-resnet56v1-ver0_test,0.8589
resnet56v2_original_tuned-once-on_original_ver2,deepfool-untargeted-by-resnet56v1-ver0_test,0.8544
resnet56v2_original_tuned-once-on_original_ver3,deepfool-untargeted-by-resnet56v1-ver0_test,0.8563
resnet56v2_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7372
resnet56v2_original_ver1,deepfool-untargeted-by-resnet56v1-ver0_test,0.7624
resnet56v2_original_ver2,deepfool-untargeted-by-resnet56v1-ver0_test,0.7166
resnet56v2_original_ver3,deepfool-untargeted-by-resnet56v1-ver0_test,0.7426
vgg11_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7268
vgg13_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.803
vgg16_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7945
vgg19_original_ver0,deepfool-untargeted-by-resnet56v1-ver0_test,0.7928
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6126
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6088
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.628
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6048
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.9018
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.8071
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.8234
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.8194
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.8527
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.8637
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.8139
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.8161
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.8211
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.8184
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.7638
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.7562
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.7933
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.8043
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.8181
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.8127
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6051
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.5505
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.5772
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.5493
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.5966
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.5469
resnet20v1_original_tuned-once-on_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6716
resnet20v1_original_tuned-once-on_original_ver1,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6633
resnet20v1_original_tuned-once-on_original_ver2,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6678
resnet20v1_original_tuned-once-on_original_ver3,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6627
resnet20v1_original_tuned-once-on_original_ver4,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6447
resnet20v1_original_tuned-once-on_original_ver5,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6558
resnet20v1_original_tuned-once-on_original_ver6,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6781
resnet20v1_original_tuned-once-on_original_ver7,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6511
resnet20v1_original_tuned-thrice-on_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6577
resnet20v1_original_tuned-twice-on_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6596
resnet20v1_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.4983
resnet20v1_original_ver1,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.538
resnet20v1_original_ver2,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.5364
resnet20v1_original_ver3,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.5264
resnet20v1_original_ver4,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.505
resnet20v1_original_ver5,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.5306
resnet20v1_original_ver6,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.545
resnet20v1_original_ver7,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.4976
resnet20v2_original_tuned-once-on_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6925
resnet20v2_original_tuned-once-on_original_ver1,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6907
resnet20v2_original_tuned-once-on_original_ver2,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.7064
resnet20v2_original_tuned-once-on_original_ver3,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6879
resnet20v2_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.4613
resnet20v2_original_ver1,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.485
resnet20v2_original_ver2,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.4849
resnet20v2_original_ver3,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.4632
resnet56v1_original_tuned-once-on_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.4859
resnet56v1_original_tuned-once-on_original_ver1,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6657
resnet56v1_original_tuned-once-on_original_ver2,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6513
resnet56v1_original_tuned-once-on_original_ver3,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6566
resnet56v1_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.2477
resnet56v1_original_ver1,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.49
resnet56v1_original_ver2,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.5093
resnet56v1_original_ver3,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.4989
resnet56v2_original_tuned-once-on_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.689
resnet56v2_original_tuned-once-on_original_ver1,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6857
resnet56v2_original_tuned-once-on_original_ver2,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6812
resnet56v2_original_tuned-once-on_original_ver3,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6745
resnet56v2_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.4243
resnet56v2_original_ver1,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.5088
resnet56v2_original_ver2,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.4139
resnet56v2_original_ver3,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.4637
vgg11_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6959
vgg13_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6612
vgg16_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6478
vgg19_original_ver0,fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_test,0.6543
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6126
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6088
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.628
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6048
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.9018
