logifold_type,entropy_threshold,simple_label,generator_family,Adv_using_history,average_voting_by_Judges,simple_majority_voting_by_Judges,simple_majority_voting_by_all,average_voting_by_all,Adv - judges_avg,Adv - All_avg,Adv - judges_majority,Adv - All_majority
PGD_VGG_untargeted,63.06013327552098,fgm(least),resnet,0.8942,0.7264,0.7274,0.8524,0.8546,0.16779999999999995,0.03959999999999997,0.16679999999999995,0.04179999999999995
PGD_VGG_untargeted,63.06013327552098,pgd(big),resnet,0.910725,0.7713,0.772125,0.8692,0.87015,0.13942500000000002,0.04057500000000003,0.13860000000000006,0.041525000000000034
PGD_VGG_untargeted,63.06013327552098,"pgd(least, big)",vgg,0.908725,0.78515,0.783525,0.8835500000000001,0.886125,0.12357499999999999,0.022599999999999953,0.12519999999999998,0.025174999999999947
PGD_VGG_untargeted,63.06013327552098,"pgd(least, big)",resnet,0.902225,0.7903249999999999,0.7889999999999999,0.883275,0.8855,0.11190000000000011,0.0167250000000001,0.11322500000000013,0.018950000000000022
PGD_VGG_untargeted,63.06013327552098,pgd(big),vgg,0.918775,0.8648750000000001,0.86455,0.90135,0.902725,0.05389999999999995,0.01605000000000001,0.05422499999999997,0.017425000000000024
PGD_VGG_untargeted,63.06013327552098,"pgd(2nd, std)",resnet,0.9368,0.9388,0.9386,0.936,0.936,-0.0020000000000000018,0.0007999999999999119,-0.0018000000000000238,0.0007999999999999119
PGD_VGG_untargeted,63.06013327552098,original,,0.9385,0.9408,0.94,0.937,0.9371,-0.0022999999999999687,0.0013999999999999568,-0.0014999999999999458,0.0014999999999999458
PGD_VGG_untargeted,63.06013327552098,pgd(std),resnet,0.9368,0.9393,0.9388,0.9357,0.9355,-0.0025000000000000577,0.0012999999999999678,-0.0020000000000000018,0.0010999999999999899
PGD_VGG_untargeted,63.06013327552098,DF,resnet,0.8867,0.8893,0.8875,0.8863,0.8865,-0.0025999999999999357,0.000200000000000089,-0.0007999999999999119,0.00040000000000006697
PGD_VGG_untargeted,63.06013327552098,"pgd(least, std)",resnet,0.9374,0.9401,0.939,0.9369,0.9368,-0.0027000000000000357,0.0006000000000000449,-0.0015999999999999348,0.000500000000000056
PGD_VGG_untargeted,63.06013327552098,cwl2,resnet,0.9299,0.9347,0.9336,0.9323,0.9333,-0.0048000000000000265,-0.0034000000000000696,-0.0037000000000000366,-0.0024000000000000687
PGD_VGG_untargeted,63.06013327552098,cwl2(2nd),resnet,0.923,0.9349,0.9336,0.9324,0.9333,-0.01189999999999991,-0.010299999999999976,-0.010599999999999943,-0.009399999999999964
PGD_VGG_untargeted,63.06013327552098,cwl2(least),resnet,0.9242,0.9394,0.9385,0.9364,0.9365,-0.015199999999999991,-0.012299999999999978,-0.01429999999999998,-0.012199999999999989
PGD_bigstep_targeted-to-2nd,157.30536953819913,"pgd(2nd, big)",resnet,0.9126,0.5952,0.5967,0.8377,0.8428,0.3174,0.06979999999999997,0.31589999999999996,0.07489999999999997
PGD_bigstep_targeted-to-2nd,157.30536953819913,fgm,resnet,0.9099,0.7232,0.7213,0.8689,0.8717,0.1867000000000001,0.03820000000000001,0.1886,0.041000000000000036
PGD_bigstep_targeted-to-2nd,157.30536953819913,fgm(2nd),resnet,0.9089,0.7264,0.7274,0.8693,0.8733,0.1825,0.035600000000000076,0.1815,0.03960000000000008
PGD_bigstep_targeted-to-2nd,157.30536953819913,fgm(least),resnet,0.9089,0.7264,0.7274,0.8693,0.8733,0.1825,0.035600000000000076,0.1815,0.03960000000000008
PGD_bigstep_targeted-to-2nd,157.30536953819913,pgd(big),resnet,0.9168,0.7713,0.772125,0.873675,0.874575,0.14549999999999996,0.04222499999999996,0.144675,0.04312499999999997
PGD_bigstep_targeted-to-2nd,157.30536953819913,"pgd(least, big)",resnet,0.913575,0.7903249999999999,0.7889999999999999,0.894775,0.89665,0.12325000000000008,0.01692500000000008,0.1245750000000001,0.01880000000000004
PGD_bigstep_targeted-to-2nd,157.30536953819913,"pgd(least, big)",vgg,0.900475,0.78515,0.783525,0.873825,0.875775,0.11532500000000001,0.024700000000000055,0.11695,0.026650000000000063
PGD_bigstep_targeted-to-2nd,157.30536953819913,pgd(big),vgg,0.915525,0.8648750000000001,0.86455,0.8946,0.8957999999999999,0.05064999999999997,0.019725000000000104,0.05097499999999999,0.020925000000000082
PGD_bigstep_targeted-to-2nd,157.30536953819913,"pgd(2nd, std)",resnet,0.9365,0.9388,0.9386,0.9359,0.9358,-0.0022999999999999687,0.0007000000000000339,-0.0020999999999999908,0.0006000000000000449
PGD_bigstep_targeted-to-2nd,157.30536953819913,DF,resnet,0.8868,0.8893,0.8875,0.8863,0.8864,-0.0024999999999999467,0.00040000000000006697,-0.0006999999999999229,0.000500000000000056
PGD_bigstep_targeted-to-2nd,157.30536953819913,cwl2,resnet,0.9322,0.9347,0.9336,0.9338,0.9331,-0.0024999999999999467,-0.0009000000000000119,-0.0013999999999999568,-0.0015999999999999348
PGD_bigstep_targeted-to-2nd,157.30536953819913,pgd(std),resnet,0.9368,0.9393,0.9388,0.9358,0.9357,-0.0025000000000000577,0.0010999999999999899,-0.0020000000000000018,0.0010000000000000009
PGD_bigstep_targeted-to-2nd,157.30536953819913,"pgd(least, std)",resnet,0.9371,0.9401,0.939,0.9362,0.9361,-0.0030000000000000027,0.0010000000000000009,-0.0018999999999999018,0.0009000000000000119
PGD_bigstep_targeted-to-2nd,157.30536953819913,original,,0.9373,0.9408,0.94,0.9371,0.9379,-0.0034999999999999476,-0.0005999999999999339,-0.0026999999999999247,0.00019999999999997797
PGD_bigstep_targeted-to-2nd,157.30536953819913,cwl2(2nd),resnet,0.9267,0.9349,0.9336,0.934,0.9331,-0.008199999999999985,-0.006400000000000072,-0.006900000000000017,-0.007300000000000084
PGD_bigstep_targeted-to-2nd,157.30536953819913,cwl2(least),resnet,0.9272,0.9394,0.9385,0.9369,0.9377,-0.012199999999999989,-0.010499999999999954,-0.011299999999999977,-0.009699999999999931
PGD_bigstep_targeted-to-least,153.61881936525455,"pgd(2nd, big)",resnet,0.9003,0.5952,0.5967,0.8117,0.8137,0.30510000000000004,0.08660000000000001,0.3036,0.08860000000000001
PGD_bigstep_targeted-to-least,153.61881936525455,fgm,resnet,0.8968,0.7232,0.7213,0.8493,0.8521,0.1736000000000001,0.04470000000000007,0.1755,0.04749999999999999
PGD_bigstep_targeted-to-least,153.61881936525455,fgm(2nd),resnet,0.8992,0.7264,0.7274,0.8506,0.8542,0.17279999999999995,0.04500000000000004,0.17179999999999995,0.04859999999999998
